Temp , Ave_energy , Ave_energy^2 , C_v
1.93,-2.367,6.144,0.14532229053128953
1.92,-2.2865,5.8665,0.17318189832899294
1.91,-2.271,5.774,0.16900825087031618
1.9,-2.3485,6.0735,0.154583864265928
1.89,-2.358,6.076,0.14440693149687844
1.88,-2.338,5.974,0.1436611588954277
1.87,-2.3235,5.9825,0.16696152306328443
1.86,-2.3235,5.9725,0.16587112671985188
1.85,-2.345,6.096,0.1744265887509129
1.84,-2.327,5.983,0.1677903473534971
1.83,-2.305,5.869,0.16601719967750578
1.82,-2.356,6.062,0.15434850863422309
1.81,-2.287,5.809,0.1766218979884621
1.8,-2.3445,6.0235,0.16259868827160512
1.79,-2.3525,6.0375,0.15706243562934966
1.78,-2.3755,6.1325,0.15449430311829296
1.77,-2.346,6.054,0.1756468447764051
1.76,-2.365,6.069,0.15359471849173517
1.75,-2.401,6.14,0.12251395918367355
1.74,-2.343,6.023,0.17616296736689113
1.73,-2.3805,6.1175,0.15059632797621014
1.72,-2.4065,6.2305,0.14847814697133627
1.71,-2.349,6.021,0.17208679593721096
1.7,-2.381,6.129,0.15911384083045002
1.69,-2.3835,6.0995,0.14650318616294927
1.68,-2.3965,6.1985,0.1613122696995465
1.67,-2.366,6.049,0.16172827996701195
1.66,-2.3975,6.1625,0.15041869284366388
1.65,-2.3785,6.0895,0.1587650137741049
1.64,-2.3885,6.1795,0.17644547516359288
1.63,-2.4045,6.1975,0.15652819074861657
1.62,-2.377,6.117,0.17789628105471766
1.61,-2.398,6.147,0.15300181320165104
1.6,-2.3965,6.1585,0.16222177734375004
1.59,-2.3785,6.1085,0.17848888493334938
1.58,-2.387,6.141,0.17754806921967628
1.57,-2.403,6.172,0.1613010669804046
1.56,-2.4125,6.2105,0.16039766190006552
1.55,-2.403,6.192,0.1738151925078043
1.54,-2.413,6.219,0.1671576151121612
1.53,-2.4,6.147,0.1653210303729337
1.52,-2.416,6.22,0.16574792243767325
1.51,-2.3955,6.1515,0.18116738300951699
1.5,-2.4105,6.2025,0.17421766666666685
1.49,-2.4025,6.1605,0.17498930228368106
1.48,-2.3905,6.0865,0.16983644539810125
1.47,-2.4075,6.1855,0.18022293951594195
1.46,-2.408,6.212,0.19400262713454708
1.45,-2.4255,6.2275,0.1638286563614744
1.44,-2.4245,6.2295,0.16941538869598718
1.43,-2.424,6.312,0.21332290087534855
1.42,-2.414,6.208,0.1887542154334453
1.41,-2.4205,6.2155,0.1794073487249126
1.4,-2.43,6.27,0.18627551020408117
1.39,-2.4085,6.1795,0.1959669530562599
1.38,-2.3895,6.0845,0.19680201113211546
1.37,-2.402,6.17,0.21332836059459684
1.36,-2.4255,6.2915,0.2208313959775086
1.35,-2.391,6.111,0.21625185185185175
1.34,-2.421,6.232,0.20648195589218163
1.33,-2.417,6.187,0.1950992142009164
1.32,-2.4385,6.3025,0.20444085743801696
1.31,-2.4175,6.1875,0.1999847036885963
1.3,-2.4285,6.2205,0.19105784023668612
1.29,-2.4485,6.3135,0.19130325701580433
1.28,-2.4305,6.2385,0.2021299743652349
1.27,-2.3975,6.1075,0.22288657077314175
1.26,-2.42,6.205,0.2195767195767197
1.25,-2.4095,6.1965,0.2501182400000005
1.24,-2.4265,6.2395,0.22866659079084278
1.23,-2.409,6.159,0.23512393416617128
1.22,-2.4545,6.3815,0.23980767938726205
1.21,-2.433,6.252,0.22710948705689518
1.2,-2.437,6.274,0.2326604166666672
1.19,-2.419,6.196,0.24323070404632405
1.18,-2.4215,6.1925,0.23616615196782534
1.17,-2.441,6.295,0.24583168967784422
1.16,-2.398,6.092,0.2538614744351956
1.15,-2.429,6.241,0.25781398865784555
1.14,-2.4445,6.3065,0.2546320021545088
1.13,-2.4485,6.3135,0.2493129845720104
1.12,-2.434,6.233,0.24604910714285652
1.11,-2.4405,6.2685,0.2535993425858286
1.1,-2.444,6.293,0.2643504132231411
1.09,-2.4365,6.2635,0.2752022136183812
1.08,-2.451,6.326,0.2731472908093269
1.07,-2.4345,6.2505,0.2827406323696392
1.06,-2.4415,6.2735,0.278193084727661
1.05,-2.4295,6.2205,0.28846235827664396
1.04,-2.4405,6.2565,0.2777919286242594
1.03,-2.462,6.4,0.319121500612687
1.02,-2.428,6.202,0.29490196078431413
1.01,-2.451,6.304,0.2907548279580429
1.0,-2.42,6.175,0.3186
0.99,-2.437,6.257,0.324488317518621
0.98,-2.4375,6.2525,0.3239210224906293
0.97,-2.443,6.266,0.3164533956849824
0.96,-2.437,6.261,0.34942599826388987
0.95,-2.4345,6.2905,0.40300249307479213
0.94,-2.46,6.357,0.34563150746944377
0.93,-2.4285,6.2055,0.3559807492195618
0.92,-2.439,6.252,0.3583163988657843
